file,title_len,desc_len,has_canonical,h1_count,has_schema,has_faq,has_og,has_breadcrumb,issue_score
"services.brazil.registro.tsx",50,0,1,1,0,0,0,0,17
"services.brazil.software.tsx",7,199,1,1,0,0,0,0,11
"services.brazil.technical-documentation.tsx",7,184,1,1,0,0,0,0,11
"services.brazil.technovigilance.tsx",58,0,1,1,0,0,0,0,17
"services.brazil.tecnovigilance.tsx",7,214,1,1,0,0,0,0,11
"services.brazil.testing-strategy.tsx",7,191,1,1,0,0,0,0,11
"services.brazil.tsx",7,0,0,0,0,0,0,0,40
"services.canada.change-management.tsx",7,164,1,1,0,0,0,0,11
"services.canada.classification.tsx",7,190,1,1,0,0,0,0,11
"services.canada.index.tsx",7,235,1,1,1,0,1,1,3
"services.canada.inspection.tsx",7,160,1,1,0,0,0,0,11
"services.canada.ivd.tsx",7,214,1,1,0,0,0,0,11
"services.canada.labeling.tsx",7,194,1,1,0,0,0,0,11
"services.canada.liaison.tsx",63,0,1,1,0,0,0,0,17
"services.canada.mdel.tsx",7,223,1,1,0,0,0,0,11
"services.canada.mdl.tsx",7,205,1,1,0,0,0,0,11
"services.canada.mdsap.tsx",7,210,1,1,0,0,0,0,11
"services.canada.pms.tsx",7,177,1,1,0,0,0,0,11
"services.canada.renewals.tsx",64,0,1,1,0,0,0,0,17
"services.canada.software.tsx",7,182,1,1,0,0,0,0,11
"services.canada.supply-chain.tsx",7,176,1,1,0,0,0,0,11
"services.canada.technical-documentation.tsx",7,209,1,1,0,0,0,0,11
"services.canada.testing-strategy.tsx",7,169,1,1,0,0,0,0,11
"services.canada.tsx",7,0,0,0,0,0,0,0,40
"services.drug-device-combination-products.tsx",7,204,1,1,0,0,1,0,9
"services.drug-licenses-for-importers.tsx",79,303,1,1,0,0,1,0,11
"services.eu.article-117.tsx",91,199,1,1,1,0,1,1,5
"services.eu.ce-marking.tsx",68,165,1,1,1,0,1,1,3
"services.eu.ce-registration.tsx",53,95,1,1,0,0,0,0,14
"services.eu.change-assessment.tsx",78,191,1,1,1,0,1,1,5
"services.eu.class-d-ivdr.tsx",76,193,1,1,1,0,1,1,5
"services.eu.classification.tsx",71,151,1,1,1,0,1,1,5
"services.eu.clinical-evaluation.tsx",81,161,1,1,1,0,1,1,5
"services.eu.deficiency-response.tsx",79,170,1,1,1,0,1,1,5
"services.eu.ear.tsx",74,174,1,1,1,0,1,1,5
"services.eu.eudamed.tsx",72,170,1,1,1,0,1,1,5
"services.eu.index.tsx",7,244,1,1,1,0,1,1,3
"services.eu.ivdr-analytical-performance.tsx",74,162,1,1,1,0,1,1,5
"services.eu.ivdr-classification.tsx",85,187,1,1,1,0,1,1,5
"services.eu.ivdr-clinical-performance.tsx",83,183,1,1,1,0,1,1,5
"services.eu.ivdr-performance-evaluation.tsx",83,158,1,1,1,0,1,1,5
"services.eu.ivdr-pmpf.tsx",62,167,1,1,1,0,1,1,3
"services.eu.ivdr.tsx",7,227,1,1,1,0,1,1,3
"services.eu.labeling.tsx",69,204,1,1,1,0,1,1,3
"services.eu.mdr-ivdr-transition.tsx",70,178,1,1,1,0,1,1,3
"services.eu.mdr.tsx",7,229,1,1,1,0,1,1,3
"services.eu.notified-body.tsx",75,161,1,1,1,0,1,1,5
"services.eu.pms-pmcf.tsx",61,152,1,1,1,0,1,1,3
"services.eu.pms.tsx",65,146,1,1,0,0,0,0,11
"services.eu.qms.tsx",75,165,1,1,1,0,1,1,5
"services.eu.software.tsx",87,175,1,1,1,0,1,1,5
"services.eu.technical-documentation.tsx",71,136,1,1,1,0,1,1,5
"services.eu.testing-strategy.tsx",72,163,1,1,1,0,1,1,5
"services.eu.tsx",7,0,0,0,0,0,0,0,40
"services.iec-ad-code.tsx",69,167,1,1,0,0,1,0,9
"services.index.tsx",64,187,1,1,0,0,1,0,9
"services.india.class-a-import.tsx",56,0,1,2,0,0,0,0,22
"services.india.free-sale.tsx",79,0,1,2,0,0,1,0,22
"services.india.index.tsx",73,0,1,2,1,0,0,1,18
"services.india.investigational-devices.tsx",64,0,1,2,0,0,0,0,22
"services.india.ivd-clinical-performance.tsx",73,0,1,2,0,0,0,0,24
"services.india.ivd-testing.tsx",66,0,1,2,0,0,0,0,22
"services.india.ivd.tsx",92,272,1,1,0,0,1,0,11
"services.india.loan-class-a-b.tsx",81,0,1,2,0,0,0,0,24
"services.india.loan-class-c-d.tsx",82,0,1,2,0,0,0,0,24
"services.india.market-standing.tsx",61,0,1,2,0,0,1,0,20
"services.india.md-42.tsx",69,0,1,2,0,0,1,0,20
"services.india.medical-devices.tsx",86,354,1,1,0,0,1,0,11
"services.india.mfg-class-a-b.tsx",85,0,1,2,0,0,0,0,24
"services.india.mfg-class-a-gsr.tsx",85,0,1,2,0,0,0,0,24
"services.india.mfg-class-c-d.tsx",85,0,1,2,0,0,0,0,24
"services.india.neutral-code.tsx",62,0,1,2,0,0,1,0,20
"services.india.non-conviction.tsx",60,0,1,2,0,0,1,0,20
"services.india.novel-ivds.tsx",73,0,1,2,0,0,0,0,24
"services.india.personal-use.tsx",65,0,1,2,0,0,0,0,22
"services.india.predicate-devices.tsx",82,0,1,2,0,0,0,0,24
"services.india.tsx",7,0,0,0,0,0,0,0,40
"services.iso-13485.tsx",72,211,1,1,0,0,1,0,11
"services.manufacturing.tsx",44,196,1,1,0,0,1,0,9
"services.market-access.tsx",40,71,1,1,0,0,0,0,14
"services.mdsap.audit-documentation.tsx",7,129,1,1,0,0,1,0,9
"services.mdsap.capa-remediation.tsx",7,139,1,1,0,0,1,0,9
"services.mdsap.complaint-vigilance.tsx",7,149,1,1,0,0,1,0,9
"services.mdsap.design-controls.tsx",7,149,1,1,0,0,1,0,9
"services.mdsap.gap-assessment.tsx",7,111,1,1,0,0,1,0,12
"services.mdsap.index.tsx",7,221,1,1,0,0,1,0,9
"services.mdsap.jurisdiction-readiness.tsx",7,144,1,1,0,0,1,0,9
"services.mdsap.mock-audits.tsx",7,132,1,1,0,0,1,0,9
"services.mdsap.post-certification.tsx",7,132,1,1,0,0,1,0,9
"services.mdsap.process-readiness.tsx",7,169,1,1,0,0,1,0,9
"services.mdsap.production-supplier-validation.tsx",7,142,1,1,0,0,1,0,9
"services.mdsap.qms-alignment.tsx",7,158,1,1,0,0,1,0,9
"services.mdsap.strategy-scope.tsx",7,150,1,1,0,0,1,0,9
"services.mdsap.tsx",7,0,0,0,0,0,0,0,40
"services.new-zealand.change-management.tsx",7,194,1,1,0,0,0,0,11
"services.new-zealand.classification.tsx",7,178,1,1,0,0,0,0,11
"services.new-zealand.index.tsx",7,218,1,1,0,0,0,0,11
"services.new-zealand.ivd.tsx",7,184,1,1,0,0,0,0,11
"services.new-zealand.labeling.tsx",7,196,1,1,0,0,0,0,11
"services.new-zealand.medsafe-queries.tsx",7,195,1,1,0,0,0,0,11
"services.new-zealand.post-market.tsx",7,184,1,1,0,0,0,0,11
"services.new-zealand.qms-compliance.tsx",7,183,1,1,0,0,0,0,11
"services.new-zealand.software.tsx",7,196,1,1,0,0,0,0,11
"services.new-zealand.sponsor.tsx",7,193,1,1,0,0,0,0,11
"services.new-zealand.supply-chain.tsx",7,182,1,1,0,0,0,0,11
"services.new-zealand.technical-documentation.tsx",7,203,1,1,0,0,0,0,11
"services.new-zealand.testing-strategy.tsx",7,200,1,1,0,0,0,0,11
"services.new-zealand.tsx",7,0,0,0,0,0,0,0,40
"services.new-zealand.wand-notification.tsx",7,185,1,1,0,0,0,0,11
"services.pc-pndt-certificate.tsx",85,195,1,1,0,0,1,0,11
"services.regulatory-affairs.tsx",56,134,1,1,0,0,0,0,11
"services.regulatory-due-diligence.tsx",7,240,1,1,0,0,1,0,9
"services.saudi-arabia.authorized-representative.tsx",7,196,1,1,0,0,0,0,11
"services.saudi-arabia.change-management.tsx",7,174,1,1,0,0,0,0,11
"services.saudi-arabia.classification.tsx",7,169,1,1,0,0,0,0,11
"services.saudi-arabia.establishment-licensing.tsx",7,197,1,1,0,0,0,0,11
"services.saudi-arabia.index.tsx",7,223,1,1,0,0,0,0,11
"services.saudi-arabia.inspection.tsx",7,185,1,1,0,0,0,0,11
"services.saudi-arabia.ivd.tsx",7,196,1,1,0,0,0,0,11
"services.saudi-arabia.labeling.tsx",7,206,1,1,0,0,0,0,11
"services.saudi-arabia.mdma.tsx",7,178,1,1,0,0,0,0,11
"services.saudi-arabia.post-market.tsx",7,193,1,1,0,0,0,0,11
"services.saudi-arabia.sfda-queries.tsx",7,189,1,1,0,0,0,0,11
"services.saudi-arabia.software.tsx",7,194,1,1,0,0,0,0,11
"services.saudi-arabia.technical-documentation.tsx",7,193,1,1,0,0,0,0,11
"services.saudi-arabia.testing-strategy.tsx",7,182,1,1,0,0,0,0,11
"services.saudi-arabia.tsx",7,0,0,0,0,0,0,0,40
"services.technical-documentation.tsx",50,79,1,1,0,0,0,0,14
"services.uae.change-management.tsx",7,177,1,1,0,0,0,0,11
"services.uae.classification.tsx",7,192,1,1,0,0,0,0,11
"services.uae.ecas.tsx",7,197,1,1,0,0,0,0,11
"services.uae.index.tsx",7,238,1,1,0,0,0,0,11
"services.uae.ivd.tsx",7,194,1,1,0,0,0,0,11
"services.uae.labeling.tsx",7,204,1,1,0,0,0,0,11
"services.uae.local-applicant.tsx",7,190,1,1,0,0,0,0,11
"services.uae.mohap-queries.tsx",7,194,1,1,0,0,0,0,11
"services.uae.mohap-registration.tsx",7,198,1,1,0,0,0,0,11
"services.uae.post-market.tsx",7,209,1,1,0,0,0,0,11
"services.uae.qms-inspection.tsx",7,195,1,1,0,0,0,0,11
"services.uae.software.tsx",7,202,1,1,0,0,0,0,11
"services.uae.supply-chain.tsx",7,203,1,1,0,0,0,0,11
"services.uae.technical-documentation.tsx",7,201,1,1,0,0,0,0,11
"services.uae.testing-strategy.tsx",7,196,1,1,0,0,0,0,11
"services.uae.tsx",7,0,0,0,0,0,0,0,40
"services.uk.audit-readiness.tsx",66,160,1,1,1,0,1,1,3
"services.uk.conformity-assurance.tsx",74,183,1,1,1,0,1,1,5
"services.uk.dors-registration.tsx",56,112,1,1,0,0,0,0,14
"services.uk.index.tsx",7,205,1,1,1,0,1,1,3
"services.uk.labeling.tsx",71,147,1,1,0,0,0,0,13
"services.uk.mhra-liaison.tsx",69,129,1,1,0,0,0,0,11
"services.uk.mhra-registration.tsx",65,181,1,1,1,0,1,1,3
"services.uk.pms.tsx",85,182,1,1,1,0,1,1,5
"services.uk.qms.tsx",71,112,1,1,0,0,0,0,16
"services.uk.regulatory-writing.tsx",62,152,1,1,0,0,0,0,11
"services.uk.technical-file.tsx",63,179,1,1,1,0,1,1,3
"services.uk.tsx",7,0,0,0,0,0,0,0,40
"services.uk.ukrp.tsx",73,200,1,1,0,0,1,0,11
"services.uk.vigilance.tsx",73,192,1,1,1,0,1,1,5
"services.usa.510k.tsx",75,178,1,1,1,0,1,1,5
"services.usa.513g.tsx",81,0,1,1,0,0,1,0,17
"services.usa.agent-service.tsx",84,247,1,1,0,0,1,0,11
"services.usa.classification.tsx",88,186,1,1,1,0,1,1,5
"services.usa.de-novo.tsx",72,147,1,1,1,0,1,1,5
"services.usa.deficiency-response.tsx",77,158,1,1,1,0,1,1,5
"services.usa.e-star.tsx",78,179,1,1,1,0,1,1,5
"services.usa.establishment-registration.tsx",71,177,1,1,1,0,1,1,5
"services.usa.global-market-access.tsx",82,157,1,1,1,0,1,1,5
"services.usa.index.tsx",80,390,1,1,1,0,1,1,5
"services.usa.pma.tsx",76,147,1,1,0,0,1,0,11
"services.usa.post-clearance-lifecycle.tsx",71,154,1,1,1,0,1,1,5
"services.usa.predicate-strategy.tsx",73,166,1,1,1,0,1,1,5
"services.usa.q-submission.tsx",69,180,1,1,1,0,1,1,3
"services.usa.qmsr-inspection.tsx",77,155,1,1,1,0,1,1,5
"services.usa.rfd-pre-rfd.tsx",60,0,1,1,0,0,0,0,17
"services.usa.testing-strategy.tsx",80,184,1,1,1,0,1,1,5
"services.usa.tsx",7,0,0,0,0,0,0,0,40
"services.usa.udi-gudid.tsx",55,0,1,1,0,0,0,0,17
"services.wpc-wireless-medical-devices.tsx",89,242,1,1,0,0,1,0,11
