file,url,previous_state,decision,reason,related_page,export_clicks,export_impressions,export_average_position
insights.class-iii-medical-device-classification-strategy.tsx,/insights/class-iii-medical-device-classification-strategy,noindex,indexable,Distinct informational article: FDA Class III Strategy: Establish the Regulatory Path Before Committing to Studies. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
insights.dental-scanners-manufacturing-regulatory-standards.tsx,/insights/dental-scanners-manufacturing-regulatory-standards,noindex,indexable,Distinct informational article: Dental Scanner Development: Validate the Scan-to-Decision Workflow. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
insights.eu-mdr-2026.tsx,/insights/eu-mdr-2026,noindex,indexable,Distinct informational article: Back to Insights. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
insights.fda-510k-program-modernization-safety-standards.tsx,/insights/fda-510k-program-modernization-safety-standards,noindex,indexable,Distinct informational article: 510(k) Modernisation: Assess Predicate Relevance and Performance Evidence. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
insights.fda-inspections-2026.tsx,/insights/fda-inspections-2026,noindex,indexable,Distinct informational article: Back to Insights. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
insights.fda-qmsr-2026.tsx,/insights/fda-qmsr-2026,noindex,indexable,Distinct informational article: Back to Insights. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,0,1,9.0
insights.gspr-compliance-eu-mdr-ivdr.tsx,/insights/gspr-compliance-eu-mdr-ivdr,noindex,indexable,Distinct informational article: GSPR Compliance: Turn the Checklist Into an Evidence Map. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
insights.gspr-foundation-medical-device-development.tsx,/insights/gspr-foundation-medical-device-development,noindex,indexable,Distinct informational article: Use GSPRs Early: Convert Regulatory Expectations Into Design Inputs. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
insights.india-mdr-2026-rule-63.tsx,/insights/india-mdr-2026-rule-63,noindex,indexable,Distinct informational article: Back to Insights. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
insights.ivdr-class-d-verification-notified-bodies.tsx,/insights/ivdr-class-d-verification-notified-bodies,noindex,indexable,Distinct informational article: Class D IVD Verification: Coordinate the Product Evidence and Batch Workflow. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
insights.medical-device-documentation-compliance-to-evidence.tsx,/insights/medical-device-documentation-compliance-to-evidence,noindex,indexable,Distinct informational article: Back to Insights. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
insights.notified-body-expectations-eu-mdr-technical-documentation.tsx,/insights/notified-body-expectations-eu-mdr-technical-documentation,noindex,indexable,Distinct informational article: EU MDR Technical Documentation: Make the Evidence Trail Clear. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
insights.notified-body-selection-conformity-assessment-guide.tsx,/insights/notified-body-selection-conformity-assessment-guide,noindex,indexable,"Distinct informational article: Selecting a Notified Body: Match Designation, Scope, and Project Readiness. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.",,,,
insights.regulation-eu-2024-1860-mdr-ivdr-transition.tsx,/insights/regulation-eu-2024-1860-mdr-ivdr-transition,noindex,indexable,Distinct informational article: IVDR Transition Planning: Check Eligibility Before Relying on the Deadline. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
insights.regulatory-compliance-strategy-global-medtech.tsx,/insights/regulatory-compliance-strategy-global-medtech,noindex,indexable,Distinct informational article: Global MedTech Strategy: Sequence Markets Around Reusable Evidence. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
regulatory-updates.tsx,/regulatory-updates,noindex,retain noindex,Same RegulatoryDashboard and feed as /ai-news; retain one search destination.,/ai-news,,,
services.audit-compliance.tsx,/services/audit-compliance,noindex,indexable,Dedicated service intent covering general internal/supplier audit and compliance service selection. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.australia.artg-inclusion.tsx,/services/australia/artg-inclusion,noindex,indexable,Dedicated service intent covering kind-of-device grouping and ARTG application preparation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,5,35.2
services.australia.australian-sponsor.tsx,/services/australia/australian-sponsor,noindex,indexable,Dedicated service intent covering Australian sponsor appointment and ongoing regulatory governance. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.australia.change-management.tsx,/services/australia/change-management,noindex,indexable,"Dedicated service intent covering change triggers, regulatory impact and lifecycle record updates. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.australia.classification.tsx,/services/australia/classification,noindex,indexable,"Dedicated service intent covering qualification, risk-class reasoning and its effect on the submission route. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.australia.clinical-evidence.tsx,/services/australia/clinical-evidence,noindex,indexable,Dedicated service intent covering claim-specific clinical evidence and evaluation deliverables. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.australia.conformity-assessment.tsx,/services/australia/conformity-assessment,noindex,retain noindex,Generic regulatory template without conformity-assessment-specific evidence or process; manufacturer-evidence page is substantive.,/services/australia/manufacturer-evidence,,,
services.australia.ivd.tsx,/services/australia/ivd,noindex,indexable,"Dedicated service intent covering diagnostic intended use, performance evidence and the local IVD pathway. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.australia.labeling.tsx,/services/australia/labeling,noindex,indexable,"Dedicated service intent covering local labelling, identifiers and consistency with the authorised device. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.australia.manufacturer-evidence.tsx,/services/australia/manufacturer-evidence,noindex,indexable,"Dedicated service intent covering conformity evidence, certificate scope and TGA application linkage. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.australia.pms.tsx,/services/australia/pms,noindex,retain noindex,Generic PMS template; detailed post-market page covers the same service.,/services/australia/post-market,0,1,19.0
services.australia.post-market.tsx,/services/australia/post-market,noindex,indexable,"Dedicated service intent covering complaint assessment, reporting and field-action responsibilities. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.australia.software.tsx,/services/australia/software,noindex,indexable,"Dedicated service intent covering medical software qualification, lifecycle evidence and change controls. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.australia.sponsor.tsx,/services/australia/sponsor,noindex,retain noindex,Generic sponsor template; detailed Australian Sponsor page covers governance and obligations.,/services/australia/australian-sponsor,0,1,21.0
services.australia.supply-chain.tsx,/services/australia/supply-chain,noindex,indexable,"Dedicated service intent covering importer/distributor responsibilities, traceability and complaint routing. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.australia.technical-documentation.tsx,/services/australia/technical-documentation,noindex,indexable,Dedicated service intent covering technical dossier scope and traceable supporting evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.australia.testing-strategy.tsx,/services/australia/testing-strategy,noindex,indexable,"Dedicated service intent covering test planning, configurations and regulatory usability of reports. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.australia.tga-audit.tsx,/services/australia/tga-audit,noindex,indexable,Dedicated service intent covering TGA application-audit preparation and information responses. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.brazil.anvisa-queries.tsx,/services/brazil/anvisa-queries,noindex,indexable,Dedicated service intent covering ANVISA exigencia responses supported by corrected evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.brazil.bgmp.tsx,/services/brazil/bgmp,noindex,indexable,Dedicated service intent covering Brazilian GMP and CBPF inspection evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,1,92.0
services.brazil.brh.tsx,/services/brazil/brh,noindex,indexable,Dedicated service intent covering Brazilian registration-holder governance and access to records. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.brazil.change-management.tsx,/services/brazil/change-management,noindex,indexable,"Dedicated service intent covering change triggers, regulatory impact and lifecycle record updates. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.brazil.classification.tsx,/services/brazil/classification,noindex,indexable,"Dedicated service intent covering qualification, risk-class reasoning and its effect on the submission route. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.brazil.ivd.tsx,/services/brazil/ivd,noindex,indexable,"Dedicated service intent covering diagnostic intended use, performance evidence and the local IVD pathway. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.brazil.labeling.tsx,/services/brazil/labeling,noindex,indexable,"Dedicated service intent covering local labelling, identifiers and consistency with the authorised device. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.brazil.notificacao.tsx,/services/brazil/notificacao,noindex,retain noindex,Generic notification template; combined registration page explains actual pathways.,/services/brazil/registration,,,
services.brazil.registration.tsx,/services/brazil/registration,noindex,indexable,Dedicated service intent covering notification versus registration and dossier consistency. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.brazil.registro.tsx,/services/brazil/registro,noindex,retain noindex,Generic registration template; combined registration page explains actual pathways.,/services/brazil/registration,,,
services.brazil.software.tsx,/services/brazil/software,noindex,indexable,"Dedicated service intent covering medical software qualification, lifecycle evidence and change controls. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.brazil.technical-documentation.tsx,/services/brazil/technical-documentation,noindex,indexable,Dedicated service intent covering technical dossier scope and traceable supporting evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.brazil.technovigilance.tsx,/services/brazil/technovigilance,noindex,retain noindex,Generic alternate-spelling page; tecnovigilance page has the substantive incident workflow.,/services/brazil/tecnovigilance,,,
services.brazil.tecnovigilance.tsx,/services/brazil/tecnovigilance,noindex,indexable,"Dedicated service intent covering Brazilian incident investigation, reporting and corrective actions. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.brazil.testing-strategy.tsx,/services/brazil/testing-strategy,noindex,indexable,"Dedicated service intent covering test planning, configurations and regulatory usability of reports. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.canada.change-management.tsx,/services/canada/change-management,noindex,indexable,"Dedicated service intent covering change triggers, regulatory impact and lifecycle record updates. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.canada.classification.tsx,/services/canada/classification,noindex,indexable,"Dedicated service intent covering qualification, risk-class reasoning and its effect on the submission route. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.canada.inspection.tsx,/services/canada/inspection,noindex,indexable,Dedicated service intent covering inspection preparation using operating records and corrective actions. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.canada.ivd.tsx,/services/canada/ivd,noindex,indexable,"Dedicated service intent covering diagnostic intended use, performance evidence and the local IVD pathway. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.canada.labeling.tsx,/services/canada/labeling,noindex,indexable,"Dedicated service intent covering local labelling, identifiers and consistency with the authorised device. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.canada.liaison.tsx,/services/canada/liaison,noindex,retain noindex,Generic liaison promises without a Canadian query process or concrete deliverables.,/services/canada,,,
services.canada.mdel.tsx,/services/canada/mdel,noindex,indexable,Dedicated service intent covering Canadian establishment licensing and the activities it covers. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.canada.mdl.tsx,/services/canada/mdl,noindex,indexable,Dedicated service intent covering Canadian device licensing and class-dependent application evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.canada.mdsap.tsx,/services/canada/mdsap,noindex,indexable,Dedicated service intent covering Canadian licensing alignment with MDSAP certificate and QMS scope. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.canada.pms.tsx,/services/canada/pms,noindex,indexable,"Dedicated service intent covering post-market evidence, complaints, reporting and periodic updates. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.canada.renewals.tsx,/services/canada/renewals,noindex,retain noindex,Generic maintenance text does not explain MDL versus MDEL renewal responsibilities.,/services/canada,,,
services.canada.software.tsx,/services/canada/software,noindex,indexable,"Dedicated service intent covering medical software qualification, lifecycle evidence and change controls. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.canada.supply-chain.tsx,/services/canada/supply-chain,noindex,indexable,"Dedicated service intent covering importer/distributor responsibilities, traceability and complaint routing. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.canada.technical-documentation.tsx,/services/canada/technical-documentation,noindex,indexable,Dedicated service intent covering technical dossier scope and traceable supporting evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.canada.testing-strategy.tsx,/services/canada/testing-strategy,noindex,indexable,"Dedicated service intent covering test planning, configurations and regulatory usability of reports. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.eu.article-117.tsx,/services/eu/article-117,noindex,indexable,Dedicated service intent covering integral drug-device evidence and conditional notified-body opinion requirements. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.eu.ce-registration.tsx,/services/eu/ce-registration,noindex,retain noindex,Brief introduction points visitors to the full CE-marking architecture; insufficient standalone value.,/services/eu/ce-marking,0,13,71.38
services.eu.change-assessment.tsx,/services/eu/change-assessment,noindex,indexable,Dedicated service intent covering EU change significance and notified-body communication. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.eu.class-d-ivdr.tsx,/services/eu/class-d-ivdr,noindex,indexable,"Dedicated service intent covering Class D evidence, Common Specifications and applicable EURL interfaces. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.eu.classification.tsx,/services/eu/classification,noindex,indexable,"Dedicated service intent covering qualification, risk-class reasoning and its effect on the submission route. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.eu.clinical-evaluation.tsx,/services/eu/clinical-evaluation,noindex,indexable,"Dedicated service intent covering clinical claims, literature appraisal and CER conclusions. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,0,1,89.0
services.eu.deficiency-response.tsx,/services/eu/deficiency-response,noindex,indexable,"Dedicated service intent covering reviewer-question analysis, evidence remediation and response matrices. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.eu.ear.tsx,/services/eu/ear,noindex,indexable,Dedicated service intent covering EU authorised-representative responsibilities and documentation access. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.eu.eudamed.tsx,/services/eu/eudamed,noindex,indexable,"Dedicated service intent covering actor/device data, UDI consistency and registry maintenance. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,0,4,74.75
services.eu.ivdr-analytical-performance.tsx,/services/eu/ivdr-analytical-performance,noindex,indexable,"Dedicated service intent covering analytical study parameters, protocols and evidence traceability. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.eu.ivdr-classification.tsx,/services/eu/ivdr-classification,noindex,indexable,Dedicated service intent covering IVDR intended purpose and Annex VIII classification reasoning. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.eu.ivdr-clinical-performance.tsx,/services/eu/ivdr-clinical-performance,noindex,indexable,Dedicated service intent covering clinical performance study design and claim substantiation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.eu.ivdr-performance-evaluation.tsx,/services/eu/ivdr-performance-evaluation,noindex,indexable,"Dedicated service intent covering integration of scientific validity, analytical and clinical evidence in a PER. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.eu.ivdr-pmpf.tsx,/services/eu/ivdr-pmpf,noindex,indexable,Dedicated service intent covering post-market performance questions and follow-up evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.eu.labeling.tsx,/services/eu/labeling,noindex,indexable,"Dedicated service intent covering local labelling, identifiers and consistency with the authorised device. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,0,10,56.6
services.eu.mdr-ivdr-transition.tsx,/services/eu/mdr-ivdr-transition,noindex,indexable,Dedicated service intent covering legacy-device gap assessment and transition readiness. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.eu.notified-body.tsx,/services/eu/notified-body,noindex,indexable,"Dedicated service intent covering assessment readiness, scope and evidence-based response support. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.eu.pms-pmcf.tsx,/services/eu/pms-pmcf,noindex,indexable,Dedicated service intent covering PMS/PMCF evidence connected to risk and clinical evaluation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.eu.pms.tsx,/services/eu/pms,noindex,retain noindex,Brief introduction links to the full PMS/PMCF service rather than answering a separate need.,/services/eu/pms-pmcf,0,4,64.5
services.eu.qms.tsx,/services/eu/qms,noindex,indexable,Dedicated service intent covering jurisdiction-specific QMS implementation and objective evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,16,77.25
services.eu.software.tsx,/services/eu/software,noindex,indexable,"Dedicated service intent covering medical software qualification, lifecycle evidence and change controls. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.eu.technical-documentation.tsx,/services/eu/technical-documentation,noindex,indexable,Dedicated service intent covering technical dossier scope and traceable supporting evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,110,78.6
services.eu.testing-strategy.tsx,/services/eu/testing-strategy,noindex,indexable,"Dedicated service intent covering test planning, configurations and regulatory usability of reports. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.india.class-a-import.tsx,/services/india/class-a-import,noindex,indexable,"Dedicated service intent covering non-sterile, non-measuring Class A import registration. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,0,42,14.26
services.india.free-sale.tsx,/services/india/free-sale,noindex,indexable,Dedicated service intent covering export free-sale certification and application preparation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,1,161,67.87
services.india.investigational-devices.tsx,/services/india/investigational-devices,noindex,indexable,Dedicated service intent covering institutional investigational-device access and relevant forms. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,14,27.71
services.india.ivd-clinical-performance.tsx,/services/india/ivd-clinical-performance,noindex,indexable,Dedicated service intent covering IVD clinical performance planning and study permission. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,5,45.8
services.india.ivd-testing.tsx,/services/india/ivd-testing,noindex,indexable,Dedicated service intent covering non-commercial IVD test licensing and permitted purposes. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,5,67.6
services.india.loan-class-a-b.tsx,/services/india/loan-class-a-b,noindex,indexable,Dedicated service intent covering Class A/B loan licensing using an existing facility. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.india.loan-class-c-d.tsx,/services/india/loan-class-c-d,noindex,indexable,Dedicated service intent covering Class C/D loan licensing under the central pathway. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.india.market-standing.tsx,/services/india/market-standing,noindex,indexable,Dedicated service intent covering market-standing evidence for tender/certificate applications. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,34,9.56
services.india.md-42.tsx,/services/india/md-42,noindex,indexable,Dedicated service intent covering sale/distribution establishment registration and documentation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,37,39.19
services.india.mfg-class-a-b.tsx,/services/india/mfg-class-a-b,noindex,indexable,Dedicated service intent covering Class A/B manufacturing licensing and site documentation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,31,52.42
services.india.mfg-class-a-gsr.tsx,/services/india/mfg-class-a-gsr,noindex,indexable,Dedicated service intent covering Class A non-sterile/non-measuring manufacturing registration. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.india.mfg-class-c-d.tsx,/services/india/mfg-class-c-d,noindex,indexable,Dedicated service intent covering Class C/D central manufacturing licensing. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.india.neutral-code.tsx,/services/india/neutral-code,noindex,indexable,Dedicated service intent covering export manufacturer identification and the CDSCO online code process. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,161,9.39
services.india.non-conviction.tsx,/services/india/non-conviction,noindex,indexable,Dedicated service intent covering non-conviction certification for relevant commercial/tender requirements. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,71,14.79
services.india.novel-ivds.tsx,/services/india/novel-ivds,noindex,indexable,Dedicated service intent covering new-IVD evidence and MD-26/27 application planning. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,1,79.0
services.india.personal-use.tsx,/services/india/personal-use,noindex,indexable,Dedicated service intent covering individual personal-use imports rather than commercial distribution. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,1,177,64.14
services.india.predicate-devices.tsx,/services/india/predicate-devices,noindex,indexable,Dedicated service intent covering MD-14/15 import dossier preparation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,6,69.67
services.mdsap.audit-documentation.tsx,/services/mdsap/audit-documentation,noindex,indexable,"Dedicated service intent covering retrievable, controlled MDSAP operating records. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.mdsap.capa-remediation.tsx,/services/mdsap/capa-remediation,noindex,indexable,"Dedicated service intent covering MDSAP findings, root causes and effectiveness evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.mdsap.complaint-vigilance.tsx,/services/mdsap/complaint-vigilance,noindex,indexable,Dedicated service intent covering MDSAP complaint trails and jurisdiction-specific reporting. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.mdsap.design-controls.tsx,/services/mdsap/design-controls,noindex,indexable,Dedicated service intent covering MDSAP design-input-to-transfer evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.mdsap.gap-assessment.tsx,/services/mdsap/gap-assessment,noindex,indexable,Dedicated service intent covering MDSAP implementation gaps and prioritised remediation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.mdsap.jurisdiction-readiness.tsx,/services/mdsap/jurisdiction-readiness,noindex,indexable,Dedicated service intent covering MDSAP country requirements embedded into QMS processes. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.mdsap.mock-audits.tsx,/services/mdsap/mock-audits,noindex,indexable,Dedicated service intent covering MDSAP audit simulation and evidence sampling. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.mdsap.post-certification.tsx,/services/mdsap/post-certification,noindex,indexable,"Dedicated service intent covering MDSAP surveillance, scope changes and ongoing readiness. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.mdsap.process-readiness.tsx,/services/mdsap/process-readiness,noindex,indexable,Dedicated service intent covering MDSAP process handoffs and trace exercises. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.mdsap.production-supplier-validation.tsx,/services/mdsap/production-supplier-validation,noindex,indexable,Dedicated service intent covering production validation and outsourced supplier control. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.mdsap.qms-alignment.tsx,/services/mdsap/qms-alignment,noindex,indexable,Dedicated service intent covering ISO 13485 to MDSAP process integration. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.mdsap.strategy-scope.tsx,/services/mdsap/strategy-scope,noindex,indexable,"Dedicated service intent covering MDSAP sites, product families and audit boundaries. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.new-zealand.change-management.tsx,/services/new-zealand/change-management,noindex,indexable,"Dedicated service intent covering change triggers, regulatory impact and lifecycle record updates. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
