file,url,indexing,next_action
"insights.fda-q-sub-pre-submission-meeting-guide.tsx","/insights/fda-q-sub-pre-submission-meeting-guide","indexable","Maintain existing indexable landing page"
"insights.fda-qmsr-2026.tsx","/insights/fda-qmsr-2026","indexable","Distinct informational article: Back to Insights. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.fda-qmsr-compliance-guide.tsx","/insights/fda-qmsr-compliance-guide","indexable","Maintain existing indexable landing page"
"insights.gspr-compliance-eu-mdr-ivdr.tsx","/insights/gspr-compliance-eu-mdr-ivdr","indexable","Distinct informational article: GSPR Compliance: Turn the Checklist Into an Evidence Map. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.gspr-foundation-medical-device-development.tsx","/insights/gspr-foundation-medical-device-development","indexable","Distinct informational article: Use GSPRs Early: Convert Regulatory Expectations Into Design Inputs. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.human-factors-engineering-medical-device-design.tsx","/insights/human-factors-engineering-medical-device-design","indexable","Maintain existing indexable landing page"
"insights.iec-62304-medical-device-software-lifecycle.tsx","/insights/iec-62304-medical-device-software-lifecycle","indexable","Maintain existing indexable landing page"
"insights.index.tsx","/insights","indexable","Maintain existing indexable landing page"
"insights.india-mdr-2026-rule-63.tsx","/insights/india-mdr-2026-rule-63","indexable","Distinct informational article: Back to Insights. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.ivdr-class-d-verification-notified-bodies.tsx","/insights/ivdr-class-d-verification-notified-bodies","indexable","Distinct informational article: Class D IVD Verification: Coordinate the Product Evidence and Batch Workflow. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.medical-device-documentation-compliance-to-evidence.tsx","/insights/medical-device-documentation-compliance-to-evidence","indexable","Distinct informational article: Back to Insights. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.notified-body-expectations-eu-mdr-technical-documentation.tsx","/insights/notified-body-expectations-eu-mdr-technical-documentation","indexable","Distinct informational article: EU MDR Technical Documentation: Make the Evidence Trail Clear. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.notified-body-selection-conformity-assessment-guide.tsx","/insights/notified-body-selection-conformity-assessment-guide","indexable","Distinct informational article: Selecting a Notified Body: Match Designation, Scope, and Project Readiness. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.optimal-timing-usfda-510k-submission.tsx","/insights/optimal-timing-usfda-510k-submission","indexable","Maintain existing indexable landing page"
"insights.overcoming-fda-510k-clearance-barriers.tsx","/insights/overcoming-fda-510k-clearance-barriers","indexable","Maintain existing indexable landing page"
"insights.qms-documentation-iso-13485-compliance.tsx","/insights/qms-documentation-iso-13485-compliance","indexable","Maintain existing indexable landing page"
"insights.regulation-eu-2024-1860-mdr-ivdr-transition.tsx","/insights/regulation-eu-2024-1860-mdr-ivdr-transition","indexable","Distinct informational article: IVDR Transition Planning: Check Eligibility Before Relying on the Deadline. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.regulatory-compliance-strategy-global-medtech.tsx","/insights/regulatory-compliance-strategy-global-medtech","indexable","Distinct informational article: Global MedTech Strategy: Sequence Markets Around Reusable Evidence. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.remote-patient-monitoring-devices-regulatory-framework.tsx","/insights/remote-patient-monitoring-devices-regulatory-framework","indexable","Maintain existing indexable landing page"
"insights.samd-classification-submission-usfda.tsx","/insights/samd-classification-submission-usfda","indexable","Maintain existing indexable landing page"
"insights.understanding-prrc-eu-mdr-ivdr.tsx","/insights/understanding-prrc-eu-mdr-ivdr","indexable","Maintain existing indexable landing page"
"insights.usability-testing-medical-devices-iec-62366.tsx","/insights/usability-testing-medical-devices-iec-62366","indexable","Maintain existing indexable landing page"
"markets.index.tsx","/markets","indexable","Maintain existing indexable landing page"
"regulatory-updates.tsx","/regulatory-updates","noindex","Same RegulatoryDashboard and feed as /ai-news; retain one search destination."
"services.audit-compliance.tsx","/services/audit-compliance","indexable","Dedicated service intent covering general internal/supplier audit and compliance service selection. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.artg-inclusion.tsx","/services/australia/artg-inclusion","indexable","Dedicated service intent covering kind-of-device grouping and ARTG application preparation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.australian-sponsor.tsx","/services/australia/australian-sponsor","indexable","Dedicated service intent covering Australian sponsor appointment and ongoing regulatory governance. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.change-management.tsx","/services/australia/change-management","indexable","Dedicated service intent covering change triggers, regulatory impact and lifecycle record updates. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.classification.tsx","/services/australia/classification","indexable","Dedicated service intent covering qualification, risk-class reasoning and its effect on the submission route. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.clinical-evidence.tsx","/services/australia/clinical-evidence","indexable","Dedicated service intent covering claim-specific clinical evidence and evaluation deliverables. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.conformity-assessment.tsx","/services/australia/conformity-assessment","noindex","Generic regulatory template without conformity-assessment-specific evidence or process; manufacturer-evidence page is substantive."
"services.australia.index.tsx","/services/australia","indexable","Maintain existing indexable landing page"
"services.australia.ivd.tsx","/services/australia/ivd","indexable","Dedicated service intent covering diagnostic intended use, performance evidence and the local IVD pathway. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.labeling.tsx","/services/australia/labeling","indexable","Dedicated service intent covering local labelling, identifiers and consistency with the authorised device. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.manufacturer-evidence.tsx","/services/australia/manufacturer-evidence","indexable","Dedicated service intent covering conformity evidence, certificate scope and TGA application linkage. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.pms.tsx","/services/australia/pms","noindex","Generic PMS template; detailed post-market page covers the same service."
"services.australia.post-market.tsx","/services/australia/post-market","indexable","Dedicated service intent covering complaint assessment, reporting and field-action responsibilities. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.software.tsx","/services/australia/software","indexable","Dedicated service intent covering medical software qualification, lifecycle evidence and change controls. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.sponsor.tsx","/services/australia/sponsor","noindex","Generic sponsor template; detailed Australian Sponsor page covers governance and obligations."
"services.australia.supply-chain.tsx","/services/australia/supply-chain","indexable","Dedicated service intent covering importer/distributor responsibilities, traceability and complaint routing. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.technical-documentation.tsx","/services/australia/technical-documentation","indexable","Dedicated service intent covering technical dossier scope and traceable supporting evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.testing-strategy.tsx","/services/australia/testing-strategy","indexable","Dedicated service intent covering test planning, configurations and regulatory usability of reports. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.australia.tga-audit.tsx","/services/australia/tga-audit","indexable","Dedicated service intent covering TGA application-audit preparation and information responses. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.brazil.anvisa-queries.tsx","/services/brazil/anvisa-queries","indexable","Dedicated service intent covering ANVISA exigencia responses supported by corrected evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.brazil.bgmp.tsx","/services/brazil/bgmp","indexable","Dedicated service intent covering Brazilian GMP and CBPF inspection evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.brazil.brh.tsx","/services/brazil/brh","indexable","Dedicated service intent covering Brazilian registration-holder governance and access to records. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.brazil.change-management.tsx","/services/brazil/change-management","indexable","Dedicated service intent covering change triggers, regulatory impact and lifecycle record updates. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.brazil.classification.tsx","/services/brazil/classification","indexable","Dedicated service intent covering qualification, risk-class reasoning and its effect on the submission route. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.brazil.index.tsx","/services/brazil","indexable","Maintain existing indexable landing page"
"services.brazil.ivd.tsx","/services/brazil/ivd","indexable","Dedicated service intent covering diagnostic intended use, performance evidence and the local IVD pathway. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.brazil.labeling.tsx","/services/brazil/labeling","indexable","Dedicated service intent covering local labelling, identifiers and consistency with the authorised device. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.brazil.notificacao.tsx","/services/brazil/notificacao","noindex","Generic notification template; combined registration page explains actual pathways."
"services.brazil.registration.tsx","/services/brazil/registration","indexable","Dedicated service intent covering notification versus registration and dossier consistency. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.brazil.registro.tsx","/services/brazil/registro","noindex","Generic registration template; combined registration page explains actual pathways."
"services.brazil.software.tsx","/services/brazil/software","indexable","Dedicated service intent covering medical software qualification, lifecycle evidence and change controls. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.brazil.technical-documentation.tsx","/services/brazil/technical-documentation","indexable","Dedicated service intent covering technical dossier scope and traceable supporting evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.brazil.technovigilance.tsx","/services/brazil/technovigilance","noindex","Generic alternate-spelling page; tecnovigilance page has the substantive incident workflow."
"services.brazil.tecnovigilance.tsx","/services/brazil/tecnovigilance","indexable","Dedicated service intent covering Brazilian incident investigation, reporting and corrective actions. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.brazil.testing-strategy.tsx","/services/brazil/testing-strategy","indexable","Dedicated service intent covering test planning, configurations and regulatory usability of reports. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.change-management.tsx","/services/canada/change-management","indexable","Dedicated service intent covering change triggers, regulatory impact and lifecycle record updates. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.classification.tsx","/services/canada/classification","indexable","Dedicated service intent covering qualification, risk-class reasoning and its effect on the submission route. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.index.tsx","/services/canada","indexable","Maintain existing indexable landing page"
"services.canada.inspection.tsx","/services/canada/inspection","indexable","Dedicated service intent covering inspection preparation using operating records and corrective actions. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.ivd.tsx","/services/canada/ivd","indexable","Dedicated service intent covering diagnostic intended use, performance evidence and the local IVD pathway. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.labeling.tsx","/services/canada/labeling","indexable","Dedicated service intent covering local labelling, identifiers and consistency with the authorised device. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.liaison.tsx","/services/canada/liaison","noindex","Generic liaison promises without a Canadian query process or concrete deliverables."
"services.canada.mdel.tsx","/services/canada/mdel","indexable","Dedicated service intent covering Canadian establishment licensing and the activities it covers. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.mdl.tsx","/services/canada/mdl","indexable","Dedicated service intent covering Canadian device licensing and class-dependent application evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.mdsap.tsx","/services/canada/mdsap","indexable","Dedicated service intent covering Canadian licensing alignment with MDSAP certificate and QMS scope. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.pms.tsx","/services/canada/pms","indexable","Dedicated service intent covering post-market evidence, complaints, reporting and periodic updates. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.renewals.tsx","/services/canada/renewals","noindex","Generic maintenance text does not explain MDL versus MDEL renewal responsibilities."
"services.canada.software.tsx","/services/canada/software","indexable","Dedicated service intent covering medical software qualification, lifecycle evidence and change controls. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.supply-chain.tsx","/services/canada/supply-chain","indexable","Dedicated service intent covering importer/distributor responsibilities, traceability and complaint routing. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.technical-documentation.tsx","/services/canada/technical-documentation","indexable","Dedicated service intent covering technical dossier scope and traceable supporting evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.canada.testing-strategy.tsx","/services/canada/testing-strategy","indexable","Dedicated service intent covering test planning, configurations and regulatory usability of reports. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.drug-device-combination-products.tsx","/services/drug-device-combination-products","indexable","Maintain existing indexable landing page"
"services.drug-licenses-for-importers.tsx","/services/drug-licenses-for-importers","indexable","Maintain existing indexable landing page"
"services.eu.article-117.tsx","/services/eu/article-117","indexable","Dedicated service intent covering integral drug-device evidence and conditional notified-body opinion requirements. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.ce-marking.tsx","/services/eu/ce-marking","indexable","Maintain existing indexable landing page"
"services.eu.ce-registration.tsx","/services/eu/ce-registration","noindex","Brief introduction points visitors to the full CE-marking architecture; insufficient standalone value."
"services.eu.change-assessment.tsx","/services/eu/change-assessment","indexable","Dedicated service intent covering EU change significance and notified-body communication. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.class-d-ivdr.tsx","/services/eu/class-d-ivdr","indexable","Dedicated service intent covering Class D evidence, Common Specifications and applicable EURL interfaces. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.classification.tsx","/services/eu/classification","indexable","Dedicated service intent covering qualification, risk-class reasoning and its effect on the submission route. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.clinical-evaluation.tsx","/services/eu/clinical-evaluation","indexable","Dedicated service intent covering clinical claims, literature appraisal and CER conclusions. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.deficiency-response.tsx","/services/eu/deficiency-response","indexable","Dedicated service intent covering reviewer-question analysis, evidence remediation and response matrices. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.ear.tsx","/services/eu/ear","indexable","Dedicated service intent covering EU authorised-representative responsibilities and documentation access. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.eudamed.tsx","/services/eu/eudamed","indexable","Dedicated service intent covering actor/device data, UDI consistency and registry maintenance. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.index.tsx","/services/eu","indexable","Maintain existing indexable landing page"
"services.eu.ivdr-analytical-performance.tsx","/services/eu/ivdr-analytical-performance","indexable","Dedicated service intent covering analytical study parameters, protocols and evidence traceability. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.ivdr-classification.tsx","/services/eu/ivdr-classification","indexable","Dedicated service intent covering IVDR intended purpose and Annex VIII classification reasoning. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.ivdr-clinical-performance.tsx","/services/eu/ivdr-clinical-performance","indexable","Dedicated service intent covering clinical performance study design and claim substantiation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.ivdr-performance-evaluation.tsx","/services/eu/ivdr-performance-evaluation","indexable","Dedicated service intent covering integration of scientific validity, analytical and clinical evidence in a PER. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.ivdr-pmpf.tsx","/services/eu/ivdr-pmpf","indexable","Dedicated service intent covering post-market performance questions and follow-up evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.ivdr.tsx","/services/eu/ivdr","indexable","Maintain existing indexable landing page"
"services.eu.labeling.tsx","/services/eu/labeling","indexable","Dedicated service intent covering local labelling, identifiers and consistency with the authorised device. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.mdr-ivdr-transition.tsx","/services/eu/mdr-ivdr-transition","indexable","Dedicated service intent covering legacy-device gap assessment and transition readiness. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.mdr.tsx","/services/eu/mdr","indexable","Maintain existing indexable landing page"
"services.eu.notified-body.tsx","/services/eu/notified-body","indexable","Dedicated service intent covering assessment readiness, scope and evidence-based response support. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.pms-pmcf.tsx","/services/eu/pms-pmcf","indexable","Dedicated service intent covering PMS/PMCF evidence connected to risk and clinical evaluation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.pms.tsx","/services/eu/pms","noindex","Brief introduction links to the full PMS/PMCF service rather than answering a separate need."
"services.eu.qms.tsx","/services/eu/qms","indexable","Dedicated service intent covering jurisdiction-specific QMS implementation and objective evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.software.tsx","/services/eu/software","indexable","Dedicated service intent covering medical software qualification, lifecycle evidence and change controls. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.technical-documentation.tsx","/services/eu/technical-documentation","indexable","Dedicated service intent covering technical dossier scope and traceable supporting evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.eu.testing-strategy.tsx","/services/eu/testing-strategy","indexable","Dedicated service intent covering test planning, configurations and regulatory usability of reports. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.iec-ad-code.tsx","/services/iec-ad-code","indexable","Maintain existing indexable landing page"
"services.index.tsx","/services","indexable","Maintain existing indexable landing page"
"services.india.class-a-import.tsx","/services/india/class-a-import","indexable","Dedicated service intent covering non-sterile, non-measuring Class A import registration. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.free-sale.tsx","/services/india/free-sale","indexable","Dedicated service intent covering export free-sale certification and application preparation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.index.tsx","/services/india","indexable","Maintain existing indexable landing page"
"services.india.investigational-devices.tsx","/services/india/investigational-devices","indexable","Dedicated service intent covering institutional investigational-device access and relevant forms. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.ivd-clinical-performance.tsx","/services/india/ivd-clinical-performance","indexable","Dedicated service intent covering IVD clinical performance planning and study permission. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.ivd-testing.tsx","/services/india/ivd-testing","indexable","Dedicated service intent covering non-commercial IVD test licensing and permitted purposes. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.ivd.tsx","/services/india/ivd","indexable","Maintain existing indexable landing page"
"services.india.loan-class-a-b.tsx","/services/india/loan-class-a-b","indexable","Dedicated service intent covering Class A/B loan licensing using an existing facility. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.loan-class-c-d.tsx","/services/india/loan-class-c-d","indexable","Dedicated service intent covering Class C/D loan licensing under the central pathway. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.market-standing.tsx","/services/india/market-standing","indexable","Dedicated service intent covering market-standing evidence for tender/certificate applications. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.md-42.tsx","/services/india/md-42","indexable","Dedicated service intent covering sale/distribution establishment registration and documentation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.medical-devices.tsx","/services/india/medical-devices","indexable","Maintain existing indexable landing page"
"services.india.mfg-class-a-b.tsx","/services/india/mfg-class-a-b","indexable","Dedicated service intent covering Class A/B manufacturing licensing and site documentation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.mfg-class-a-gsr.tsx","/services/india/mfg-class-a-gsr","indexable","Dedicated service intent covering Class A non-sterile/non-measuring manufacturing registration. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.mfg-class-c-d.tsx","/services/india/mfg-class-c-d","indexable","Dedicated service intent covering Class C/D central manufacturing licensing. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.neutral-code.tsx","/services/india/neutral-code","indexable","Dedicated service intent covering export manufacturer identification and the CDSCO online code process. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.non-conviction.tsx","/services/india/non-conviction","indexable","Dedicated service intent covering non-conviction certification for relevant commercial/tender requirements. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
"services.india.novel-ivds.tsx","/services/india/novel-ivds","indexable","Dedicated service intent covering new-IVD evidence and MD-26/27 application planning. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion."
